pressure,temperature,salinity,latitude,longitude,time,float_id
344.0,11.148462,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
346.0,11.130335,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
348.0,11.104133,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
350.0,11.083168,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
352.0,11.062253,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
354.0,11.022131,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
356.0,10.987943,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
358.0,10.969397,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
360.0,10.943493,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
362.0,10.941291,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
364.0,10.939507,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
366.0,10.92216,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
368.0,10.912181,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
370.0,10.90175,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
372.0,10.890449,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
374.0,10.888364,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
376.0,10.884382,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
378.0,10.882411,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
380.0,10.873466,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
382.0,10.856604,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
384.0,10.831912,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
386.0,10.795281,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
388.0,10.780684,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
390.0,10.777546,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
392.0,10.76904,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
394.0,10.7580805,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
396.0,10.743384,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
398.0,10.73719,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
400.0,10.73111,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
402.0,10.713669,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
404.0,10.69499,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
406.0,10.677979,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
408.0,10.667347,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
410.0,10.651629,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
412.0,10.643189,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
414.0,10.627218,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
416.0,10.615207,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
418.0,10.59921,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
420.0,10.58446,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
422.0,10.574492,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
424.0,10.559001,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
426.0,10.537841,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
428.0,10.526984,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
430.0,10.513351,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
432.0,10.500211,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
434.0,10.491391,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
436.0,10.479533,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
438.0,10.459129,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
440.0,10.446045,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
442.0,10.430792,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
444.0,10.404834,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
446.0,10.36924,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
448.0,10.347472,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
450.1,10.314097,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
452.0,10.294713,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
454.0,10.277727,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
456.0,10.266196,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
458.0,10.254817,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
460.0,10.23125,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
462.0,10.215521,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
464.0,10.207138,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
465.9,10.20006,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
468.0,10.18561,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
470.0,10.168931,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
472.0,10.144783,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
474.0,10.117713,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
476.0,10.102625,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
478.0,10.086056,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
480.0,10.073281,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
482.0,10.058395,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
484.0,10.047262,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
486.0,10.029122,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
488.0,10.00847,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
490.0,9.99535,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
492.0,9.978123,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
494.0,9.956646,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
496.0,9.926339,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
498.0,9.90818,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
500.0,9.891176,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
502.0,9.8769865,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
504.0,9.857818,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
506.0,9.844637,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
508.0,9.828583,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
510.0,9.814784,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
512.0,9.798594,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
514.0,9.781748,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
516.0,9.765498,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
518.0,9.7576885,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
520.0,9.752385,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
522.0,9.739313,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
524.0,9.725841,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
526.0,9.701117,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
528.0,9.677878,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
530.0,9.655903,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
532.0,9.638969,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
534.0,9.623365,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
536.0,9.613529,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
538.0,9.61085,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
540.0,9.595513,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
542.0,9.582641,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
544.0,9.567315,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
546.0,9.552069,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
548.0,9.530418,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
550.0,9.510355,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
552.0,9.500033,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
554.0,9.4911785,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
556.0,9.473804,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
558.0,9.457131,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
560.0,9.434255,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
562.0,9.419424,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
564.0,9.40993,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
566.0,9.393978,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
568.0,9.373581,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
570.0,9.357899,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
572.0,9.341566,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
574.0,9.316679,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
576.0,9.289223,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
578.0,9.277503,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
580.0,9.260948,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
582.0,9.23782,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
584.0,9.223971,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
586.0,9.214015,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
588.0,9.194799,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
590.0,9.180566,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
592.0,9.160786,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
594.0,9.137353,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
596.0,9.121545,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
598.1,9.108679,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
600.0,9.091686,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
602.0,9.0718775,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
604.0,9.049148,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
606.0,9.031819,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
608.0,9.005461,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
610.0,8.98779,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
